"ID","Title","Venue","Year","DOI","OpenReview","Arxiv","Code","Video","Slide","Poster"
"07628","Federated learning with multichannel ALOHA","","","","","https://arxiv.org/abs/1912.06273","","","",""
"07629","Federated Learning with Differential Privacy: Algorithms and Performance Analysis","","","","","https://arxiv.org/abs/1911.00222","","","",""
"07630","Federated Learning With Cooperating Devices: A Consensus Approach for Massive IoT Networks","IEEE Internet of Things Journal","2020","https://doi.org/10.1109/jiot.2020.2964162","","https://arxiv.org/abs/1912.13163","","","",""
"07631","Federated Learning with Bayesian Differential Privacy","2019 IEEE International Conference on Big Data (Big Data)","2019","https://doi.org/10.1109/bigdata47090.2019.9005465","","https://arxiv.org/abs/1911.10071","","","",""
"07632","Federated Learning with Autotuned Communication-Efficient Secure Aggregation","","","","","https://arxiv.org/abs/1912.00131","","","",""
"07633","Federated Learning with Additional Mechanisms on Clients to Reduce Communication Costs","","","","","https://arxiv.org/abs/1908.05891","","","",""
"07634","Federated Learning Over Wireless Networks: Convergence Analysis and Resource Allocation","IEEE/ACM Transactions on Networking","2021","https://doi.org/10.1109/tnet.2020.3035770","","https://arxiv.org/abs/1910.13067","","","",""
"07635","Federated Learning over Wireless Fading Channels","","","","","https://arxiv.org/abs/1907.09769","","","",""
"07636","Federated Learning Of Out-Of-Vocabulary Words","","","","","https://arxiv.org/abs/1903.10635","","","",""
"07637","Federated Learning of N-gram Language Models","","","","","https://arxiv.org/abs/1910.03432","","","",""
"07638","Federated Learning in Mobile Edge Networks: A Comprehensive Survey","","","","","https://arxiv.org/abs/1909.11875","","","",""
"07639","Federated Learning for Wireless Communications: Motivation, Opportunities and Challenges","","","","","https://arxiv.org/abs/1908.06847","","","",""
"07640","Federated Learning for Ranking Browser History Suggestions","","","","","https://arxiv.org/abs/1911.11807","","","",""
"07641","Federated Learning for Healthcare Informatics","","","","","https://arxiv.org/abs/1911.06270","","","",""
"07642","Federated Learning for Emoji Prediction in a Mobile Keyboard","","","","","https://arxiv.org/abs/1906.04329","","","",""
"07643","Federated Learning for Edge Networks: Resource Optimization and Incentive Mechanism","","","","","https://arxiv.org/abs/1911.05642","","","",""
"07644","Federated Learning for Coalition Operations","","","","","https://arxiv.org/abs/1910.06799","","","",""
"07645","Federated Generative Privacy","","","","","https://arxiv.org/abs/1910.08385","","","",""
"07646","Federated Evaluation of On-device Personalization","","","","","https://arxiv.org/abs/1910.10252","","","",""
"07647","Federated Collaborative Filtering for Privacy-Preserving Personalized Recommendation System","","","","","https://arxiv.org/abs/1901.09888","","","",""
"07648","Federated and Differentially Private Learning for Electronic Health Records","","","","","https://arxiv.org/abs/1911.05861","","","",""
"07649","Federated AI lets a team imagine together: Federated Learning of GANs","","","","","https://arxiv.org/abs/1906.03595","","","",""
"07650","Fast Uplink Grant for NOMA: a Federated Learning based Approach","","","","","https://arxiv.org/abs/1904.07975","","","",""
"07652","Fair Resource Allocation in Federated Learning","","","","","https://arxiv.org/abs/1905.10497","","","",""
"07653","Evaluating time series forecasting models: an empirical study on performance estimation methods","Machine Learning","2020","https://doi.org/10.1007/s10994-020-05910-7","","https://arxiv.org/abs/1905.11744","","","",""
"07654","Estimating variances in time series kriging using convex optimization and empirical BLUPs","Statistical Papers","2021","https://doi.org/10.1007/s00362-020-01165-5","","https://arxiv.org/abs/1905.07771","","","",""
"07655","Enhancing the Privacy of Federated Learning with Sketching","","","","","https://arxiv.org/abs/1911.01812","","","",""
"07656","Energy-Aware Analog Aggregation for Federated Learning with Redundant Data","","","","","https://arxiv.org/abs/1911.00188","","","",""
"07657","Energy Efficient Federated Learning Over Wireless Communication Networks","","","","","https://arxiv.org/abs/1911.02417","","","",""
"07658","Energy Demand Prediction with Federated Learning for Electric Vehicle Networks","","","","","https://arxiv.org/abs/1909.00907","","","",""
"07660","Eavesdrop the Composition Proportion of Training Labels in Federated Learning","","","","","https://arxiv.org/abs/1910.06044","","","",""
"07661","Easily implementable time series forecasting techniques for resource provisioning in cloud computing","","","","","https://arxiv.org/abs/1903.02352","","","",""
"07662","Dynamic principal component regression for forecasting functional time series in a group structure","Scandinavian Actuarial Journal","2020","https://doi.org/10.1080/03461238.2019.1663553","","https://arxiv.org/abs/1909.00456","","","",""
"07670","Differentially Private Federated Variational Inference","","","","","https://arxiv.org/abs/1911.10563","","","",""
"07671","Differential Privacy-enabled Federated Learning for Sensitive Health Data","","","","","https://arxiv.org/abs/1910.02578","","","",""
"07672","Device Scheduling with Fast Convergence for Wireless Federated Learning","","","","","https://arxiv.org/abs/1911.00856","","","",""
"07673","Detailed comparison of communication efficiency of split learning and federated learning","","","","","https://arxiv.org/abs/1909.09145","","","",""
"07674","Deep Generative Quantile-Copula Models for Probabilistic Forecasting","","","","","https://arxiv.org/abs/1907.10697","","","",""
"07675","Deep Adaptive Input Normalization for Time Series Forecasting","","","","","https://arxiv.org/abs/1902.07892","","","",""
"07676","Decentralized Flood Forecasting Using Deep Neural Networks","","","","","https://arxiv.org/abs/1902.02308","","","",""
"07677","Decentralized Federated Learning: A Segmented Gossip Approach","","","","","https://arxiv.org/abs/1908.07782","","","",""
"07679","Data-driven Neural Architecture Learning For Financial Time-series Forecasting","","","","","https://arxiv.org/abs/1903.06751","","","",""
"07680","Curriculum Learning in Deep Neural Networks for Financial Forecasting","Lecture Notes in Computer Science","2020","https://doi.org/10.1007/978-3-030-37720-5_2","","https://arxiv.org/abs/1904.12887","","","",""
"07682","Confederated Machine Learning on Horizontally and Vertically Separated Medical Data for Large-Scale Health System Intelligence","","","","","https://arxiv.org/abs/1910.02109","","","",""
"07683","Comparison of Deep learning models on time series forecasting : a case study of Dissolved Oxygen Prediction","","","","","https://arxiv.org/abs/1911.08414","","","",""
"07684","Communication-Efficient Federated Deep Learning With Layerwise Asynchronous Model Update and Temporally Weighted Aggregation","IEEE Transactions on Neural Networks and Learning Systems","2020","https://doi.org/10.1109/tnnls.2019.2953131","","https://arxiv.org/abs/1903.07424","","","",""
"07686","Coded Federated Computing in Wireless Networks with Straggling Devices and Imperfect CSI","","","","","https://arxiv.org/abs/1901.05239","","","",""
"07687","Clustered Federated Learning: Model-Agnostic Distributed Multi-Task Optimization under Privacy Constraints","","","","","https://arxiv.org/abs/1910.01991","","","",""
"07688","Client-Edge-Cloud Hierarchical Federated Learning","","","","","https://arxiv.org/abs/1905.06641","","","",""
"07689","Central Server Free Federated Learning over Single-sided Trust Social Networks","","","","","https://arxiv.org/abs/1910.04956","","","",""
"07690","Cell-Free Massive MIMO for Wireless Federated Learning","","","","","https://arxiv.org/abs/1909.12567","","","",""
"07691","Can You Really Backdoor Federated Learning?","","","","","https://arxiv.org/abs/1911.07963","","","",""
"07692","Byzantine-Robust Federated Machine Learning through Adaptive Model Averaging","","","","","https://arxiv.org/abs/1909.05125","","","",""
"07693","Bullwhip effect attenuation in supply chain management via control-theoretic tools and short-term forecasts: A preliminary study with an application to perishable inventories","2019 6th International Conference on Control, Decision and Information Technologies (CoDIT)","2019","https://doi.org/10.1109/codit.2019.8820297","","https://arxiv.org/abs/1903.04256","","","",""
"07695","BrainTorrent: A Peer-to-Peer Environment for Decentralized Federated Learning","","","","","https://arxiv.org/abs/1905.06731","","","",""
"07698","Bayesian Nonparametric Federated Learning of Neural Networks","","","","","https://arxiv.org/abs/1905.12022","","","",""
"07699","BAFFLE : Blockchain Based Aggregator Free Federated Learning","","","","","https://arxiv.org/abs/1909.07452","","","",""
"07700","Autoregressive Convolutional Recurrent Neural Network for Univariate and Multivariate Time Series Prediction","","","","","https://arxiv.org/abs/1903.02540","","","",""
"07701","Attack-Resistant Federated Learning with Residual-based Reweighting","","","","","https://arxiv.org/abs/1912.11464","","","",""
"07702","Asynchronous Online Federated Learning for Edge Devices with Non-IID Data","","","","","https://arxiv.org/abs/1911.02134","","","",""
"07703","Asynchronous Federated Optimization","","","","","https://arxiv.org/abs/1903.03934","","","",""
"07704","Astraea: Self-Balancing Federated Learning for Improving Classification Accuracy of Mobile Deep Learning Applications","2019 IEEE 37th International Conference on Computer Design (ICCD)","2019","https://doi.org/10.1109/iccd46524.2019.00038","","https://arxiv.org/abs/1907.01132","","","",""
"07705","Application of data compression techniques to time series forecasting","","","","","https://arxiv.org/abs/1904.03825","","","",""
"07706","Analysis of Wide and Deep Echo State Networks for Multiscale Spatiotemporal Time Series Forecasting","Proceedings of the 7th Annual Neuro-inspired Computational Elements Workshop","2019","https://doi.org/10.1145/3320288.3320303","","https://arxiv.org/abs/1908.08380","","","",""
"07708","An End-to-End Encrypted Neural Network for Gradient Updates Transmission in Federated Learning","","","","","https://arxiv.org/abs/1908.08340","","","",""
"07709","AI Modelling and Time-series Forecasting Systems for Trading Energy Flexibility in Distribution Grids","Proceedings of the Tenth ACM International Conference on Future Energy Systems","2019","https://doi.org/10.1145/3307772.3330158","","https://arxiv.org/abs/1909.10870","","","",""
"07710","Age-Based Scheduling Policy for Federated Learning in Mobile Edge Networks","","","","","https://arxiv.org/abs/1910.14648","","","",""
"07711","Advances and Open Problems in Federated Learning","","","","","https://arxiv.org/abs/1912.04977","","","",""
"07714","Active Federated Learning","","","","","https://arxiv.org/abs/1909.12641","","","",""
"07715","Abnormal Client Behavior Detection in Federated Learning","","","","","https://arxiv.org/abs/1910.09933","","","",""
"07716","A Survey on Federated Learning Systems: Vision, Hype and Reality for Data Privacy and Protection","IEEE Transactions on Knowledge and Data Engineering","2023","https://doi.org/10.1109/tkde.2021.3124599","","https://arxiv.org/abs/1907.09693","","","",""
"07717","A Spatial-Temporal Decomposition Based Deep Neural Network for Time Series Forecasting","","","","","https://arxiv.org/abs/1902.00636","","","",""
"07718","A self-organising eigenspace map for time series clustering","","","","","https://arxiv.org/abs/1905.05540","","","",""
"07719","A robust functional time series forecasting method","Journal of Statistical Computation and Simulation","2019","https://doi.org/10.1080/00949655.2019.1572146","","https://arxiv.org/abs/1901.06030","","","",""
"07721","A Quasi-Newton Method Based Vertical Federated Learning Framework for Logistic Regression","","","","","https://arxiv.org/abs/1912.00513","","","",""
"07723","A Joint Learning and Communications Framework for Federated Learning over Wireless Networks","","","","","https://arxiv.org/abs/1909.07972","","","",""
"07725","A Federated Learning Approach for Mobile Packet Classification","","","","","https://arxiv.org/abs/1907.13113","","","",""
"07726","A Federated Filtering Framework for Internet of Medical Things","ICC 2019 - 2019 IEEE International Conference on Communications (ICC)","2019","https://doi.org/10.1109/icc.2019.8761381","","https://arxiv.org/abs/1905.01138","","","",""
"07727","A Crowdsourcing Framework for On-Device Federated Learning","IEEE Transactions on Wireless Communications","2020","https://doi.org/10.1109/twc.2020.2971981","","https://arxiv.org/abs/1911.01046","","","",""
"07730","A blockchain-orchestrated Federated Learning architecture for healthcare consortia","","","","","https://arxiv.org/abs/1910.12603","","","",""
"07733","Very Short Term Time-Series Forecasting of Solar Irradiance Without Exogenous Inputs","","","","","https://arxiv.org/abs/1810.07066","","","",""
"07735","Theory and Algorithms for Forecasting Time Series","","","","","https://arxiv.org/abs/1803.05814","","","",""
"07736","Temporal Pattern Attention for Multivariate Time Series Forecasting","","","","","https://arxiv.org/abs/1809.04206","","","",""
"07738","Spatio-Temporal Neural Networks for Space-Time Series Forecasting and Relations Discovery","2017 IEEE International Conference on Data Mining (ICDM)","2017","https://doi.org/10.1109/icdm.2017.80","","https://arxiv.org/abs/1804.08562","","","",""
"07739","Sales forecasting using WaveNet within the framework of the Kaggle competition","","","","","https://arxiv.org/abs/1803.04037","","","",""
"07742","Protection Against Reconstruction and Its Applications in Private Federated Learning","","","","","https://arxiv.org/abs/1812.00984","","","",""
"07744","Pervasive Cloud Controller for Geotemporal Inputs","IEEE Transactions on Cloud Computing","2016","https://doi.org/10.1109/tcc.2015.2464794","","https://arxiv.org/abs/1809.05838","","","",""
"07745","Partitioned Variational Inference: A unified framework encompassing federated and continual learning","","","","","https://arxiv.org/abs/1811.11206","","","",""
"07748","Multivariate Forecasting of Crude Oil Spot Prices using Neural Networks","","","","","https://arxiv.org/abs/1811.08963","","","",""
"07749","Multi-task Learning for Financial Forecasting","","","","","https://arxiv.org/abs/1809.10336","","","",""
"07750","Multi-step Time Series Forecasting Using Ridge Polynomial Neural Network with Error-Output Feedbacks","Communications in Computer and Information Science","2016","https://doi.org/10.1007/978-981-10-2777-2_5","","https://arxiv.org/abs/1811.11620","","","",""
"07751","Multi-objective Evolutionary Federated Learning","","","","","https://arxiv.org/abs/1812.07478","","","",""
"07753","Mitigating Sybils in Federated Learning Poisoning","","","","","https://arxiv.org/abs/1808.04866","","","",""
"07754","Memristive LSTM network hardware architecture for time-series predictive modeling problem","","","","","https://arxiv.org/abs/1809.03119","","","",""
"07755","Memory In Memory: A Predictive Neural Network for Learning Higher-Order Non-Stationarity from Spatiotemporal Dynamics","","","","","https://arxiv.org/abs/1811.07490","","","",""
"07757","Learning Rate Adaptation for Federated and Differentially Private Learning","","","","","https://arxiv.org/abs/1809.03832","","","",""
"07759","Joint Service Pricing and Cooperative Relay Communication for Federated Learning","","","","","https://arxiv.org/abs/1811.12082","","","",""
"07760","In-Edge AI: Intelligentizing Mobile Edge Computing, Caching and Communication by Federated Learning","IEEE Network","2019","https://doi.org/10.1109/mnet.2019.1800286","","https://arxiv.org/abs/1809.07857","","","",""
"07761","Improving forecasting accuracy of time series data using a new ARIMA-ANN hybrid method and empirical mode decomposition","Neurocomputing","2019","https://doi.org/10.1016/j.neucom.2019.05.099","","https://arxiv.org/abs/1812.11526","","","",""
"07762","Impact of Data Normalization on Deep Neural Network for Time Series Forecasting","","","","","https://arxiv.org/abs/1812.05519","","","",""
"07763","High-dimensional functional time series forecasting: An application to age-specific mortality rates","","","","","https://arxiv.org/abs/1810.01195","","","",""
"07764","Gradient-Leaks: Understanding and Controlling Deanonymization in Federated Learning","","","","","https://arxiv.org/abs/1805.05838","","","",""
"07765","Functional Federated Learning in Erlang (ffl-erl)","Lecture Notes in Computer Science","2019","https://doi.org/10.1007/978-3-030-16202-3_10","","https://arxiv.org/abs/1808.08143","","","",""
"07766","Forecasting leading industry stock prices based on a hybrid time-series forecast model","PLOS ONE","2018","https://doi.org/10.1371/journal.pone.0209922","","","","","",""
"07767","Federated Optimization in Heterogeneous Networks","","","","","https://arxiv.org/abs/1812.06127","","","",""
"07768","Federated Learning with Non-IID Data","","","","","https://arxiv.org/abs/1806.00582","","","",""
"07769","Federated Learning via Over-the-Air Computation","","","","","https://arxiv.org/abs/1812.11750","","","",""
"07770","Federated Learning in Distributed Medical Databases: Meta-Analysis of Large-Scale Subcortical Brain Data","","","","","https://arxiv.org/abs/1810.08553","","","",""
"07771","Federated Learning for Ultra-Reliable Low-Latency V2V Communications","","","","","https://arxiv.org/abs/1805.09253","","","",""
"07772","Federated Learning for Mobile Keyboard Prediction","","","","","https://arxiv.org/abs/1811.03604","","","",""
"07773","Federated Learning for Keyword Spotting","","","","","https://arxiv.org/abs/1810.05512","","","",""
"07774","Federated Echo State Learning for Minimizing Breaks in Presence in Wireless Virtual Reality Networks","","","","","https://arxiv.org/abs/1812.01202","","","",""
"07775","FADL:Federated-Autonomous Deep Learning for Distributed Electronic Health Record","","","","","https://arxiv.org/abs/1811.11400","","","",""
"07777","Entity Resolution and Federated Learning get a Federated Resolution","","","","","https://arxiv.org/abs/1803.04035","","","",""
"07780","DÏoT: A Federated Self-learning Anomaly Detection System for IoT","","","","","https://arxiv.org/abs/1804.07474","","","",""
"07781","Distributed Federated Learning for Ultra-Reliable Low-Latency Vehicular Communications","IEEE Transactions on Communications","2020","https://doi.org/10.1109/tcomm.2019.2956472","","https://arxiv.org/abs/1807.08127","","","",""
"07784","Deep Multi-View Spatial-Temporal Network for Taxi Demand Prediction","","","","","https://arxiv.org/abs/1802.08714","","","",""
"07785","Day-ahead time series forecasting: application to capacity planning","","","","","https://arxiv.org/abs/1811.02215","","","",""
"07787","Correlated Time Series Forecasting using Deep Neural Networks: A Summary of Results","","","","","https://arxiv.org/abs/1808.09794","","","",""
"07789","Communication-Efficient On-Device Machine Learning: Federated Distillation and Augmentation under Non-IID Private Data","","","","","https://arxiv.org/abs/1811.11479","","","",""
"07790","Combining time-series and textual data for taxi demand prediction in event areas: A deep learning approach","Information Fusion","2019","https://doi.org/10.1016/j.inffus.2018.07.007","","https://arxiv.org/abs/1808.05535","","","",""
"07791","Client Selection for Federated Learning with Heterogeneous Resources in Mobile Edge","ICC 2019 - 2019 IEEE International Conference on Communications (ICC)","2019","https://doi.org/10.1109/icc.2019.8761315","","https://arxiv.org/abs/1804.08333","","","",""
"07793","Blockchained On-Device Federated Learning","","","","","https://arxiv.org/abs/1808.03949","","","",""
"07795","Applied Federated Learning: Improving Google Keyboard Query Suggestions","","","","","https://arxiv.org/abs/1812.02903","","","",""
"07796","Analyzing Federated Learning through an Adversarial Lens","","","","","https://arxiv.org/abs/1811.12470","","","",""
"07797","Adaptive Federated Learning in Resource Constrained Edge Computing Systems","","","","","https://arxiv.org/abs/1804.05271","","","",""
"07800","A Memory-Network Based Solution for Multivariate Time-Series Forecasting","","","","","https://arxiv.org/abs/1809.02105","","","",""
"07801","A Hybrid Approach to Privacy-Preserving Federated Learning","","","","","https://arxiv.org/abs/1812.03224","","","",""
"07802","A generalized financial time series forecasting model based on automatic feature engineering using genetic algorithms and support vector machine","","","","","https://arxiv.org/abs/1809.06775","","","",""
"07803","A depth-based method for functional time series forecasting","","","","","https://arxiv.org/abs/1806.11032","","","",""
"07805","SpaFL: Communication-Efficient Federated Learning with Sparse Models and Low computational Overhead","","","","","https://arxiv.org/abs/2406.00431","","","",""
"07806","Time Series Prediction : Predicting Stock Price","","","","","https://arxiv.org/abs/1710.05751","","","",""
"07808","The Federated Filtering Algorithm based on the Asynchronous Multisensor System","Current Trends in Computer Science and Mechanical Automation Vol.2","2017","https://doi.org/10.1515/9783110584998-016","","","","","",""
"07809","Temporal Attention-Augmented Bilinear Network for Financial Time-Series Data Analysis","IEEE Transactions on Neural Networks and Learning Systems","2019","https://doi.org/10.1109/tnnls.2018.2869225","","https://arxiv.org/abs/1712.00975","","","",""
"07810","Spatial-temporal wind field prediction by Artificial Neural Networks","","","","","https://arxiv.org/abs/1712.05293","","","",""
"07811","Spatial-temporal forecasting the sunspot diagram","Astronomy & Astrophysics","2017","https://doi.org/10.1051/0004-6361/201629130","","https://arxiv.org/abs/1709.02796","","","",""
"07812","Resampling strategies for imbalanced time series forecasting","International Journal of Data Science and Analytics","2017","https://doi.org/10.1007/s41060-017-0044-3","https://openreview.net/forum?id=2TOucgS7Ak","","","","",""
"07813","R2N2: Residual Recurrent Neural Networks for Multivariate Time Series Forecasting","","","","","https://arxiv.org/abs/1709.03159","","","",""
"07814","Private federated learning on vertically partitioned data via entity resolution and additively homomorphic encryption","","","","","https://arxiv.org/abs/1711.10677","","","",""
"07815","Position-based Content Attention for Time Series Forecasting with Sequence-to-sequence RNNs","","","","","https://arxiv.org/abs/1703.10089","","","",""
"07818","Neural Decomposition of Time-Series Data for Effective Generalization","IEEE Transactions on Neural Networks and Learning Systems","2017","https://doi.org/10.1109/tnnls.2017.2709324","","https://arxiv.org/abs/1705.09137","","","",""
